motion;docdate
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1892/mot-1892--ak--00091.xml;Stockholm den 30 januari 1892. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1892/mot-1892-urtima-fk--00002.xml;Stockholm den 28 oktober 1892.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1893/mot-1893--ak--00096.xml;Stockholm den 26 januari             1893.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1893/mot-1893--ak--00115.xml;Stockholm den 28 januari 1893. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1893/mot-1893--ak--00126.xml;Stockholm den januari 1893.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1894/mot-1894--ak--00016.xml;Stockholm den 23 januari 1894.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1894/mot-1894--ak--00170.xml;Stockholm den 20 april 1894
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1894/mot-1894--fk--00024.xml;Stockholm den 28 januari             1894.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1895/mot-1895--ak--00052.xml;Stockholm den 26 januari 1895.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1895/mot-1895--ak--00112.xml;Stockholm den 27 januari 1895.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1895/mot-1895--fk--00046.xml;Stockholm den 27 januari 1895. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1896/mot-1896--ak--00071.xml;Stockholm den 27 januari             1896.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1896/mot-1896--ak--00134.xml;Stockholm den 27 januari 1896.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1896/mot-1896--ak--00174.xml;Stockholm den 28 januari 1896.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1897/mot-1897--ak--00104.xml;Stockholm den 26 januari 1897.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1897/mot-1897--fk--00011.xml;Stockholm den 27 januari 1897.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1897/mot-1897--fk--00018.xml;Stockholm den 28 januari 1897.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1898/mot-1898--ak--00053.xml;Stockholm den 25 januari 1898.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1898/mot-1898--ak--00108.xml;Stockholm den 26 januari 1898. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1898/mot-1898--ak--00138.xml;Stockholm i januari 1898.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1899/mot-1899--ak--00056.xml;Stockholm den 25 januari 1899.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1899/mot-1899--ak--00211.xml;Stockholm den 28 januari 1899.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1899/mot-1899--ak--00241.xml;Stockholm den 30             mars 1899.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1900/mot-1900--ak--00054.xml;Stockholm den 27 januari 1900.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1900/mot-1900--ak--00130.xml;Stockholm den 28 januari 1900.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1900/mot-1900--ak--00151.xml;Stockholm den 13 februari 1900.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1901/mot-1901--ak--00125.xml;Stockholm den 27 januari 1901.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1901/mot-1901--ak--00166.xml;Stockholm den 23 februari 1901. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1901/mot-1901--ak--00175.xml;Stockholm den 19 mars 1901. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1902/mot-1902--ak--00007.xml;Stockholm den             18 januari 1902.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1902/mot-1902--ak--00059.xml;Stockholm den 27 januari 1902.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1902/mot-1902--ak--00061.xml;Stockholm den 22 januari 1902.
