file,parliament_year,chamber,n_lines,n_cols
https://pdf.swedeb.se/riksdagen-motions-pdf/1883/mot_1883__fk__00002/mot_1883__fk__00002_001.pdf,1883,fk,24,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1883/mot_1883__fk__00002/mot_1883__fk__00002_126.pdf,1883,fk,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1884/mot_1884__ak__00011/mot_1884__ak__00011_001.pdf,1884,ak,25,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1884/mot_1884__ak__00123/mot_1884__ak__00123_016.pdf,1884,ak,34,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1884/mot_1884__ak__00011/mot_1884__ak__00011_015.pdf,1884,ak,45,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1884/mot_1884__fk__00003/mot_1884__fk__00003_003.pdf,1884,fk,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1884/mot_1884__fk__00003/mot_1884__fk__00003_008.pdf,1884,fk,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1884/mot_1884__fk__00039/mot_1884__fk__00039_028.pdf,1884,fk,34,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1885/mot_1885__ak__00005/mot_1885__ak__00005_001.pdf,1885,ak,28,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1885/mot_1885__ak__fört/mot_1885__ak__fört_007.pdf,1885,ak,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1885/mot_1885__ak__00134/mot_1885__ak__00134_001.pdf,1885,ak,15,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1885/mot_1885__fk__00004/mot_1885__fk__00004_019.pdf,1885,fk,34,2
https://pdf.swedeb.se/riksdagen-motions-pdf/1885/mot_1885__fk__00050/mot_1885__fk__00050_001.pdf,1885,fk,22,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1885/mot_1885__fk__00018/mot_1885__fk__00018_051.pdf,1885,fk,34,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1886/mot_1886__ak__00157/mot_1886__ak__00157_005.pdf,1886,ak,38,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1886/mot_1886__ak__00083/mot_1886__ak__00083_003.pdf,1886,ak,38,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1886/mot_1886__ak__00013/mot_1886__ak__00013_002.pdf,1886,ak,40,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1886/mot_1886__fk__00038/mot_1886__fk__00038_007.pdf,1886,fk,39,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1886/mot_1886__fk__00033/mot_1886__fk__00033_010.pdf,1886,fk,39,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1886/mot_1886__fk__00046/mot_1886__fk__00046_027.pdf,1886,fk,31,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1887/mot_1887_janmar_ak__00090/mot_1887_janmar_ak__00090_001.pdf,1887,ak,27,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1887/mot_1887_majjul_ak__00032/mot_1887_majjul_ak__00032_002.pdf,1887,ak,28,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1887/mot_1887_janmar_ak__00127/mot_1887_janmar_ak__00127_005.pdf,1887,ak,24,1
https://pdf.swedeb.se/riksdagen-motions-pdf/1887/mot_1887_majjul_fk__00023/mot_1887_majjul_fk__00023_003.pdf,1887,fk,41,1
