motion_path	parliament_year	false_positives	xml_predicted_signee_count	extra_rate	precision	true_positives	false_negatives	unknown_signature_count	signature_item_count	false_positive_ids	false_positive_names	gold_ids	motion
data/1958/mot-1958-b-fk--00164.xml	1958	1	5	0.2	0.8	4	0	0	9	i-XnAJTZxq8aH1QaVGLczDrb	i-XnAJTZxq8aH1QaVGLczDrb (Sven Sundin)	i-4YQFYCZptEWZxiREjfJbJ6; i-FooDdbstXg6Pqwp431p9Bu; i-Lr6SgKhYd2CyYMfVp5ZboP; i-XxxhK5cXr2wqWtUSsWnphS	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1958/mot-1958-b-fk--00164.xml
data/1974/mot-1974--01552.xml	1974	1	5	0.2	0.8	4	0	0	5	i-BZDMLaDZjTMLecbbyhYS3t	i-BZDMLaDZjTMLecbbyhYS3t (Mats Hellström)	i-3sd3coveTcEfybUorJpXWf; i-NLBMxEvbLF63U4eqdbsfQX; i-T3zCzvNQPV4UWoYeoSQzvf; i-TRnXjwqZqTJWcuZekA2f4r	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1974/mot-1974--01552.xml
data/1905/mot-1905-urtima-fk--00004.xml	1905	1	7	0.14285714285714285	0.8571428571428571	6	54	0	7	i-KzhJSRaBr9JNVkiCURFzgr	i-KzhJSRaBr9JNVkiCURFzgr (Aaby Ericsson)	i-2dY1SGv8Hf9ixu6QkJdDsP; i-458Xitx1rMUDzu6Nz48nrJ; i-4QmvMZkdVwHxUNSzFz7zzs; i-5581gcEvQGbiMJEyEKV6yh; i-5haQvBqofmVv7uAtDuavic; i-5m7eXbqSoKZzWQ41W9boXX; i-6oRamg3DcU6q3ybLVDX2pR; i-7QiMQk25eeqJqnZvPQk62u; i-7TJqANjbrgd7SVhZMKk9xF; i-87LPANBiBX7wLgJ4qtMBss; i-8Rh26BWHsu23CsDhDYmcE9; i-8VsfxTDe2G4GaxT4mL9cj9; i-8yGuNy24hvMd2Z2td7mHze; i-A5JQXuHfaRp4u95HrYD9gd; i-BRVDAnCnib83pYossDYwRa; i-C9K2zQhbi7bGUXtbQLDqku; i-CjSFC5KzVjviPvMWRXCbe6; i-Co7CHUvCQqnWiD6XBtunA3; i-D7KfkW1nDvvN3JwmiZtbX5; i-DGMnBps2wUrSusm54kdoY7; i-DrXSPzMYgVV6atUHfgBSF4; i-EFg8HwcKJoaLpGz6Y9q9aW; i-Er61oaczszUgxR1FzN9neP; i-FFyGhg7yDLhat7YPoNLzaH; i-FQJJCrSL887VqdEgWRuCYj; i-FSJ4kw3boEHgUkPEAcBMPU; i-FTiFt8AALJDsUjHZcZEDSH; i-Fnu186BGHvvTJDuB7t6zMb; i-G1xzyAPjWuB2rB8kWLGUve; i-GX7BNu6JdpkCkLvrx2oYRe; i-GiW7zxnS4J1KGakxdFC177; i-GkkQbto5JYXvdSs1bs6RLo; i-HqRXpcNvVcpAFSfTDWhdNx; i-JCyzttMVkJyC3MktTPBWrC; i-KrDgdZwFvbfz2DRQDX9Aw6; i-LEiVmuJS3qfxU5P3M3NMxf; i-Lm3eE3F9Uin1JPz2edLpYC; i-PNvieUM2GWTgmE61U6djzk; i-PpnCjvomNLjsJprvA7oC4i; i-QvQF7Es6NnMXfNhoeCLJL2; i-R5nrkYVYWRipCGrS8PAyUz; i-SUicGYDDyHF8pDkbccXJwW; i-SbYnBCjoFEsouNvrLVZ1J2; i-Snz4JyGqut3x8YoNGkcqwt; i-T5TQTo1x9KZiCNRXHysUZG; i-T5fFgQ73BhXWChgostnu9w; i-TXTMjmW8M6sutYxwmKpuaD; i-TwHRimW4qHP6qKGd2peE57; i-U1HgHsSCQwRnuUvdRGojU4; i-UDziRjgcxgNjFct4MavzVQ; i-Uh4cCK1LpYUrgkGNfFiCKh; i-W8sBcvRsddpMCiVmEeekWs; i-WS6avHnstrES8AWCVeqaD9; i-Wjs7vhiqPDs5DWBCyXkc77; i-YBeHR1zEBPMM35nMEreTz; i-YFmh6ABc2GTvHAkuL7pFAP; i-YQ6g7JsKJpiQK8dbyD7FQo; i-YQVJCQSW4NWPJmxYfGu3f9; i-YSW8Kg6NVNWR81nXxwY7Pw; i-YVqWZSiikwY2UYC3gt2RvM	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1905/mot-1905-urtima-fk--00004.xml
data/1936/mot-1936--ak--00594.xml	1936	1	7	0.14285714285714285	0.8571428571428571	6	2	1	8	i-CMoRRNd5mmMNzLy51CkWv4	i-CMoRRNd5mmMNzLy51CkWv4 (Gunnar Falla)	i-8e97Z8CH9cGtDJXCnfJMMg; i-Bwox3EjKfvDRkzWdd46vzA; i-CYXB5gc8UwhvnW3jqhdnoq; i-P9uAUSLTPeppBWCVZui5CW; i-RZvCDDC9zwyuV3rH48onze; i-SfDZtdC5fgukcXJsiu8J9U; i-TgGh4sLEipttrpG4XAgn6h; i-V7ccB7n8KQvCDssB4XYWTN	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1936/mot-1936--ak--00594.xml
data/1973/mot-1973--00268.xml	1973	1	8	0.125	0.875	7	1	1	9	i-QoeFZWNQgLDU6t6B6RuPtd	i-QoeFZWNQgLDU6t6B6RuPtd (Daniel Wiklund)	i-6V941ptYoLBrpqJyJPSEbT; i-FPpfM5ZVv1R5M45zNkpLUZ; i-HkRfm34QRnYJtBXctyaMk; i-MJi2EpNpLStR2Rke7Db78j; i-NnnjpbjTFUH5mHJLVXoKZ1; i-TLnEcKgBYha1pdFTVEbAvk; i-TkQYUfaqKqtshh9bgzavdb; i-UcWQ1kahuDDDAVPWeSNvC7	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1973/mot-1973--00268.xml
data/199293/mot-199293-UU-00623.xml	199293	1	8	0.125	0.875	7	0	0	8	i-Kytbd3WZfQeKTPffXjTEpk	i-Kytbd3WZfQeKTPffXjTEpk (Eva Zetterberg)	i-5q7m7rZyufN9RHaGjB6GHh; i-LzYBGnvuhNHdQ7LQKPA6UJ; i-PTwgnmFQaFTXvr8SByLQzu; i-QCRg2KTsg7cQV6CGsVeAfY; i-QRDnfz9zaiXo7A1SpAi1dM; i-WvrkgGMVWbiVxVoPqgJuEF; i-rrg9t2XUkHE4iAjAykgpb	https://github.com/swerik-project/riksdagen-motions/blob/main/data/199293/mot-199293-UU-00623.xml
data/1900/mot-1900--ak--00151.xml	1900	1	9	0.1111111111111111	0.8888888888888888	8	6	5	14	i-TacmzADgTQdMWZvbdHxmSf	i-TacmzADgTQdMWZvbdHxmSf (Wilhelm R. Lundgren)	i-2ajxL1uZzxQsvJXngW96hD; i-3FXDiNFhMaD2xtLwqRVLbs; i-5wWRJAXfVgvuneH3sdAR6w; i-6WG5sy3umvRtHKftBHDXCs; i-8PVe98F8qyBcQbdgnawnR4; i-CJrCTNjx52Xn65aijhiykK; i-GbhiuQPNmKizBowZVk5os8; i-JEgc1aAvpjdwHjnsG3nTk5; i-M3KsriBtBmH4v2DUpjuGUU; i-R9MyGXJGkxUW6BDGZnaPCF; i-S5mRUGGT3RXeRgMjsKf4P4; i-Shx8s54ySb2pPVzcDRXmxN; i-SuBtdXciX6FHNe1ctVkGSc; i-X7kXqhE1n1PkiMA2ijiw2b	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1900/mot-1900--ak--00151.xml
data/1944/mot-1944--ak--00160.xml	1944	1	11	0.09090909090909091	0.9090909090909091	10	5	1	12	i-S9dMiL9yRpDaYPfVGjK1Gp	i-S9dMiL9yRpDaYPfVGjK1Gp (Elis Håstad)	i-31zN39xumu2faEuBMxwB3B; i-5jwrBzpJ3kKsBsRMvCWs2N; i-5osNtGH86UU6wEyus1VLp2; i-7x3nPBLpeHFQLKxv7KF7Sf; i-AWLNBm49upAvWc2G2jYeiD; i-DfcqLG9Ux1Nu6mMoqrKYpQ; i-Dzc5xrZoX6PeTCJ7wgLJxy; i-N5YkLzCrZQG9BDuRnb7biZ; i-QBpQJ8nzJadauYpnxWcBWH; i-Rv9aHnFJh2azV9pZTjG2yC; i-SarBm3kgakASnaHyEe9Rba; i-VRK4jvXteD5oQpqXgdmTs6; i-Vphq1Qi611uoHeM3fp2TeA; i-WFsuJWdVKk2ypGbGB5owQJ; i-XvpBFhfR9SDB1i9KLCmqX2	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1944/mot-1944--ak--00160.xml
data/197778/mot-197778--01194.xml	197778	1	12	0.08333333333333333	0.9166666666666666	11	0	0	12	i-EMrT8Jq3dLhMVxxy5ibzUJ	i-EMrT8Jq3dLhMVxxy5ibzUJ (Maj Britt Theorin)	i-23owrgiLSgQRynhwKe5Tja; i-75iw9fVLnLtbGpLEsLFMc2; i-7gSKVFq5GsgutoVdRQPtCt; i-BAQZQCwvaeCDiXjeD54AnV; i-BDUhpvcffbkaomdPDBeK8T; i-BZDMLaDZjTMLecbbyhYS3t; i-GCJVTREcJGRyYmFdeMbNaN; i-Lkg3MQXCDMYPsbxniPuAxt; i-RvSFfZMiX66J8kUq7BXdHW; i-SQty3xFzeq6gqZzUtKRbW9; i-TRnXjwqZqTJWcuZekA2f4r	https://github.com/swerik-project/riksdagen-motions/blob/main/data/197778/mot-197778--01194.xml
data/1935/mot-1935--ak--00368.xml	1935	1	19	0.05263157894736842	0.9473684210526315	18	8	13	32	i-KwHwxj5zEpDUoZ2yNLrmX8	i-KwHwxj5zEpDUoZ2yNLrmX8 (Henric Gahn)	i-1xpn4vGAnPTUV3FuyR27z; i-49Rvc53FLRxQqqUSrx5ovT; i-4SirJAx3wfDW3MXsNZZfGj; i-6BUT7qfDzNjtQ6zrctx2rm; i-9jbeXPGrQfxx5oSytp9bfF; i-A8WYbyYxrhjfUex6Z8WMVq; i-AJXktptSRuni1fw754JqsT; i-AWnCXGKxBPDN7gJVRfodvt; i-DyZDeJHPADf8949NFr7LUq; i-EKaDexh9v9nEiz9rz9MXY2; i-GhQReVwv9ZB6vkKJp4vXH2; i-HiVV5oHUvJvLx8V2dQFLFu; i-HrZsKAqAFtubE4g6dXmo5N; i-JrEd2KBBm96vKhxHDyPGym; i-KjXCxQFmtvPac62A2kckSm; i-LGFpRQHZwRPA2XMLm3gyL3; i-LJhRkyGqGFgicSSzZPbftJ; i-PKgmTs8oN8k9vBBV2361YW; i-S8aCynzawb1F4NqNExnsVg; i-V2gYZ8XERX96ZTpdHjKDHk; i-V7NiAeWY2Xibey7Z9PGYKr; i-WGZBix5L8xWxVCoJgUxzZP; i-WtGqPEB6HFcwThC62uUkYN; i-Ww8VV8hxCYiEXY5qDTZs5Z; i-Xqo83uEfAGu6C7HdvFMFwx; i-rxMPrABKBDwfiUwJZxNv7	https://github.com/swerik-project/riksdagen-motions/blob/main/data/1935/mot-1935--ak--00368.xml
